BoundingBox_X1,BoundingBox_Y1,BoundingBox_X2,BoundingBox_Y2,Confidence,Label,Width,Height,AspectRatio
0,497,132,639,0.3039948046207428,59,132,142,0.9295774647887324
0,437,134,639,0.45200812816619873,59,134,202,0.6633663366336634
93,196,633,639,0.34288546442985535,0,540,443,1.2189616252821671
77,23,636,640,0.708136796951294,0,559,617,0.9059967585089141
71,17,634,640,0.4170099198818207,0,563,623,0.9036918138041734
95,191,637,639,0.4151636064052582,0,542,448,1.2098214285714286
92,168,638,639,0.3898608684539795,0,546,471,1.1592356687898089
98,22,639,640,0.6904417872428894,0,541,618,0.8754045307443366
76,17,635,640,0.631563663482666,0,559,623,0.8972712680577849
77,147,637,639,0.5691677927970886,0,560,492,1.1382113821138211
76,12,638,640,0.5046502351760864,0,562,628,0.8949044585987261
77,93,637,639,0.5573206543922424,0,560,546,1.0256410256410255
78,194,635,639,0.5600876212120056,0,557,445,1.2516853932584269
71,12,620,640,0.4789651036262512,0,549,628,0.8742038216560509
86,198,638,639,0.6098911762237549,0,552,441,1.251700680272109
103,3,611,639,0.36973267793655396,0,508,636,0.7987421383647799
51,124,638,640,0.45252862572669983,0,587,516,1.1375968992248062
79,16,637,640,0.3329167068004608,0,558,624,0.8942307692307693
93,12,640,640,0.5462473630905151,0,547,628,0.8710191082802548
206,230,266,411,0.4425937533378601,40,60,181,0.3314917127071823
0,494,133,639,0.32827818393707275,59,133,145,0.9172413793103448
101,23,640,640,0.6634133458137512,0,539,617,0.873581847649919
59,98,639,640,0.35770249366760254,0,580,542,1.070110701107011
130,5,633,640,0.3019677400588989,0,503,635,0.7921259842519685
87,14,638,640,0.6426959037780762,0,551,626,0.8801916932907349
84,8,639,640,0.5938596725463867,0,555,632,0.8781645569620253
63,147,637,640,0.6104916334152222,0,574,493,1.1643002028397567
85,6,631,638,0.30070367455482483,0,546,632,0.8639240506329114
88,18,639,638,0.8166568875312805,0,551,620,0.8887096774193548
71,219,638,639,0.5946424603462219,0,567,420,1.35
60,237,638,638,0.31864431500434875,15,578,401,1.4413965087281795
78,216,639,639,0.7158670425415039,0,561,423,1.326241134751773
0,523,121,639,0.39516109228134155,59,121,116,1.043103448275862
120,17,640,639,0.5859691500663757,0,520,622,0.8360128617363344
86,211,638,637,0.4118921160697937,0,552,426,1.295774647887324
72,196,637,638,0.6411749124526978,0,565,442,1.2782805429864252
52,231,627,639,0.550381064414978,0,575,408,1.4093137254901962
65,188,639,637,0.30006468296051025,15,574,449,1.2783964365256124
67,244,632,639,0.6599621176719666,0,565,395,1.4303797468354431
79,248,637,639,0.5622233748435974,0,558,391,1.4271099744245523
65,262,626,638,0.49066096544265747,15,561,376,1.4920212765957446
71,248,636,639,0.6386542916297913,0,565,391,1.4450127877237853
67,223,637,639,0.6977531313896179,0,570,416,1.3701923076923077
107,31,582,636,0.3862566649913788,0,475,605,0.7851239669421488
61,217,626,639,0.7233796119689941,0,565,422,1.338862559241706
82,37,598,637,0.6349506974220276,0,516,600,0.86
55,238,635,639,0.7148192524909973,0,580,401,1.4463840399002494
56,160,621,639,0.6950184106826782,0,565,479,1.1795407098121085
